"","Player","Pick","Age","ThreePM","ThreeP_Perc","FTM","FTA","FT_Perc","TOV","PF","ORB","DRB","RPG","APG","SPG","BPG","FGMForty","FGAForty","ThreePAForty","FTMForty","FTAForty","TOVForty","PFForty","ORBForty","DRBForty","REBForty","ASTForty","STLForty","BLKForty","PTSForty","TS_Perc","eFG_Perc","Total S _Perc","ORB_Perc","DRB_Perc","TRB_Perc","AST_Perc","TOV_Perc","STL_Perc","BLK_Perc","USG_Perc","PPR","PPS","ORtg","DRtg","eDiff","FIC","PER","WS","WS/48","BPM","VORP","AVG_Raptor","AVG_WAR"
"225","Rondae Hollis-Jefferson",23,20,0.2,0.207,3.8,5.4,0.707,1.6,2.5,2,4.8,6.8,1.6,1.2,0.8,5.1,10.1,1.1,5.3,7.5,2.2,3.4,2.8,6.7,9.5,2.2,1.6,1.2,15.7,0.573,0.513,141.6,9.1,20.2,14.8,10.1,13.7,2.4,3.4,20.4,-1.8,1.6,118.5,86.9,31.7,387.1,20.6,9.1,0.0785,-0.75,1.5,1.25,2.6
"226","Sam Dekker",18,21,1.2,0.331,2,2.8,0.708,0.9,1.1,1.9,3.6,5.5,1.2,0.5,0.5,6.9,13.1,4.9,2.6,3.6,1.2,1.4,2.5,4.6,7.1,1.6,0.7,0.6,17.9,0.605,0.586,156.4,8.4,14.8,11.7,8.6,7.3,1.1,1.5,23.2,-0.3,1.4,128.6,98.7,29.9,424.4,24,5.4,0.085,-0.78,0.4,-1.1,0.575
"227","Stanley Johnson",8,19,1.1,0.371,3.5,4.7,0.742,2.2,2.6,2,4.5,6.5,1.7,1.5,0.4,6.4,14.4,4.3,4.9,6.6,3,3.7,2.8,6.4,9.1,2.3,2.1,0.6,19.4,0.551,0.501,155.8,8.9,19.1,14.2,11.6,14.7,3.2,1.6,26.6,-3.6,1.3,111.1,86.6,24.5,370.8,21.4,3.4,0.0164,-3.06,-1.3,-2.475,0.225
"228","Terry Rozier",16,21,1.3,0.306,3.9,4.9,0.79,2.2,1.7,1.2,4.4,5.6,3,2,0.2,6.8,16.5,5,4.4,5.6,2.5,2,1.4,5,6.3,3.4,2.3,0.2,19.5,0.509,0.457,150.6,3.8,14,8.8,19.7,11.6,3.5,0.5,27.8,-0.6,1.2,108.3,89.6,18.7,395,21.2,9.9,0.05575,-1.4,2.8,-1.275,2.475
"229","Trey Lyles",12,19,0.1,0.138,2.1,2.8,0.735,1.1,1.6,1.8,3.4,5.2,1.1,0.5,0.4,5.7,11.6,1.4,3.6,4.9,2,2.8,3.1,5.9,9.1,1.8,0.9,0.8,15.1,0.543,0.496,136.1,9.8,15.8,13.1,9.2,12.4,1.4,2,20.6,-1.9,1.3,116.3,84.5,31.8,255.5,18.6,8.2,0.07375,-1.275,1,-2.3,0.4
"230","Tyler Harvey",51,21,4,0.431,4.7,5.5,0.852,2,1.9,0.6,3,3.6,2.6,1.1,0.1,7.8,16.6,10.1,5.1,6,2.2,2,0.7,3.2,3.9,2.8,1.2,0.1,25,0.643,0.6,175.3,2,9.6,5.9,13.6,10,1.8,0.4,27.4,-0.8,1.5,129.6,112.1,17.5,424.5,25.3,NA,NA,NA,NA,NA,NA
"231","Tyus Jones",24,19,1.2,0.379,3.7,4.2,0.889,1.9,1.2,0.5,3,3.5,5.6,1.5,0.1,4.1,9.8,3.8,4.4,4.9,2.3,1.4,0.6,3.6,4.1,6.6,1.8,0.1,13.9,0.575,0.489,168.5,1.8,9.9,6.1,27.5,15.9,2.7,0.2,18.7,5.1,1.4,124.9,98.2,26.7,444.8,19.3,8.4,0.08275,-0.5,2,0.075,1.85
"232","Willie Cauley-Stein",6,21,0,0,2,3.3,0.617,1.2,2,2.3,4.2,6.4,1,1.2,1.7,5.3,9.3,0,3.1,5.1,1.9,3.1,3.5,6.4,9.9,1.5,1.9,2.6,13.8,0.588,0.572,118.9,11.2,17.5,14.5,7.4,13.9,2.9,7.1,17.8,-2.3,1.5,119.8,79,40.8,399.5,22.1,17.3,0.117,-0.175,3.5,-2,0.825
"233","Ante Zizic",23,19,0,0,4,5.6,0.724,2.3,2.4,2.7,5.9,8.5,0.7,0.2,1.3,7.8,11.9,0,6.1,8.4,3.4,3.6,4,8.8,12.8,1,0.4,2,21.6,0.694,0.653,137.8,12.7,25.8,19.5,5.1,17.9,0.5,5,22.5,-6.8,1.8,121,102.1,19,658.9,22.2,3.5,0.141333333333333,-1.8,-0.2,-2,0.1
"234","David Michineau",39,22,0.4,0.269,1.1,1.4,0.735,0.9,1.8,0.4,0.7,1.2,1.9,0.8,0,6.2,14.7,3.8,2.9,4,2.6,5,1.3,2.1,3.3,5.4,2.3,0,16.3,0.495,0.454,142.4,4,6.7,5.3,21.4,13.4,3.2,0.1,22.6,2.7,1.1,107.7,113.7,-6,192.9,13.8,NA,NA,NA,NA,NA,NA
"235","Dragan Bender",4,18,0.7,0.338,0.6,0.8,0.719,0.6,2.3,0.8,1.7,2.5,0.7,0.5,0.8,4.9,11.5,6.3,1.9,2.6,1.7,7,2.6,5.2,7.8,2,1.5,2.4,13.7,0.541,0.514,147.9,8,16.1,12.1,8.3,11.9,2.1,6.2,16.8,-0.9,1.2,110.7,100.6,10,140.5,13.7,0.6,0.0262,-3.6,-1.9,-4.1,-0.775
"236","Furkan Korkmaz",26,18,0.7,0.398,0.3,0.5,0.615,0.4,1.4,0.4,0.8,1.2,0.6,0.2,0.1,5.6,12.3,6.4,1,1.6,1.5,5,1.2,2.9,4.1,2.2,0.7,0.3,14.8,0.568,0.56,147.1,4,9.3,6.6,8.7,10.6,1,0.8,17.4,-0.3,1.2,114.1,110.9,3.1,121.8,11.3,3.9,0.0526666666666667,-3.56666666666667,0.2,-3.16666666666667,1.2
"237","George Papagiannis",13,18,0,0,0.7,1,0.655,0.6,1.7,1.1,1.5,2.6,0.4,0.2,0.6,9.6,15,0,2.6,4,2.2,6.6,4.1,5.9,10,1.5,0.7,2.5,21.7,0.648,0.636,129.2,13.7,17.6,15.8,7.7,11.5,0.9,6.6,22.9,-3,1.4,120.6,92.7,27.9,121.9,22,0.5,0.238,10.1666666666667,-0.3,NA,NA
"238","Guerschon Yabusele",16,20,0.8,0.426,2.2,2.9,0.765,1.6,2.5,2.6,4.3,6.8,1.1,1.1,0.4,5.9,11,2.5,3.1,4,2.3,3.4,3.6,5.9,9.5,1.5,1.5,0.6,16,0.626,0.587,173.1,11.4,19.4,15.4,7.2,15,2.1,1.6,18.9,-3.1,1.5,117.6,116.3,1.3,339.2,18.8,1.1,0.106,-1.95,0,-2.4,0.05
"239","Isaia Cordinier",44,19,1.2,0.404,2.5,3.2,0.779,2.4,3.1,0.7,2.9,3.6,2,1.2,0.5,6,13,5.3,4.3,5.6,4.1,5.2,1.2,5,6.2,3.4,2,0.9,18.6,0.599,0.545,164.6,3.8,15.2,9.5,17.9,20.8,2.8,2,24,-4.5,1.4,105,103.8,1.2,211.8,17.4,NA,NA,NA,NA,NA,NA
"240","Ivica Zubac",32,19,0,0,1.3,1.7,0.765,1.1,2.5,1.8,2.9,4.7,0.6,0.6,1.3,8.8,16.4,0,2.6,3.4,2.3,4.9,3.5,5.8,9.4,1.1,1.2,2.6,20.2,0.562,0.534,129.8,10.5,18.2,14.3,5.3,11.4,1.6,7.3,23,-3.8,1.2,109.8,101.5,8.2,145,18.6,11.9,0.1484,-0.36,2,-0.65,1.7
"241","Juancho Hernangomez",15,20,1,0.358,2.4,3.3,0.717,1.4,1.3,1.7,4,5.7,0.6,0.8,0.3,5.3,11.7,4.7,4,5.6,2.3,2.2,2.9,6.8,9.7,0.9,1.4,0.4,16.3,0.578,0.528,153,9,23.5,15.9,4.4,13.9,1.9,1.2,19.8,-4.1,1.4,110.5,110.5,0,259.1,16.6,6.1,0.075,-2.24,0.4,-0.725,0.975
"242","Paul Zipser",48,22,0.8,0.417,1.6,1.9,0.839,0.9,2.3,0.7,2.9,3.6,1.4,0.4,0.5,5,10.2,4.2,3.5,4.1,2,5.1,1.6,6.3,7.9,3,0.9,1,15.3,0.637,0.581,175.1,5.5,19.9,12.9,12.2,14.4,1.2,2.8,16.8,-0.1,1.5,122.3,105.8,16.5,348.8,15.5,-0.1,-0.002,-5.25,-1.3,-4.7,-0.8
"243","Petr Cornelie",53,20,0.8,0.4,1.2,1.8,0.674,1.1,2.7,1.7,3.5,5.2,0.3,0.3,0.5,6.3,13,4.3,2.5,3.7,2.3,5.5,3.5,7.1,10.6,0.6,0.6,1.1,16.9,0.579,0.555,156.3,10.8,21.9,16.3,3,13.5,0.9,2.7,20.6,-5.1,1.3,114.1,107,7.2,292.8,16.6,NA,NA,NA,NA,NA,NA
"244","Rade Zagorac",35,20,1,0.373,3.3,4.4,0.754,2.8,3,1.7,4.3,6,2.7,2,0.4,6.8,12.9,3.6,4.7,6.2,4,4.2,2.4,6,8.5,3.8,2.9,0.5,19.6,0.626,0.578,165.3,7.2,17.9,12.5,16.9,20.4,3.7,1.5,21.6,-3.5,1.5,112.3,97.9,14.4,289.5,18.9,NA,NA,NA,NA,NA,NA
"245","Timothe Luwawu-Cabarrot",24,21,1.9,0.358,3,4.3,0.697,2.8,3.5,1,3.6,4.6,2.8,1.7,0.3,6.4,15.8,7.1,4,5.7,3.8,4.7,1.3,4.8,6.1,3.7,2.2,0.4,19.2,0.525,0.482,145.7,3.6,14.3,8.7,16.2,17.1,2.9,1.2,24,-3.3,1.2,102.2,98,4.2,255.8,13.8,3.5,0.0336,-4.54,-1.9,-2.775,0.175
"246","Zhelin Wang",57,22,0,0,2.2,3.4,0.667,1.9,2.8,2.6,4.1,6.8,1.2,0,0.5,7.6,15.4,0.4,3.8,5.7,3.2,4.6,4.4,7,11.4,2.1,0,0.8,19,0.53,0.493,116,14.4,21.7,18.1,8.4,15,0,1.9,24.8,-4.7,1.2,111.7,121.8,-10.1,58.9,15.1,NA,NA,NA,NA,NA,NA
"247","Zhou Qi",43,20,0.2,0.6,4.7,6.2,0.758,1.7,2.6,2.9,6.8,9.8,1.5,1.1,3.2,6.4,10.6,0.4,5.5,7.2,2,3.1,3.4,8,11.4,1.8,1.3,3.7,18.5,0.672,0.614,196,10.8,24.3,17.7,6.6,12.6,1.7,8.3,18.2,-2,1.7,134.6,106.3,28.3,738.2,22.1,-0.3,0.5785,20.95,-0.3,-7.45,-0.2
"248","A.J. Hammons",46,23,0.2,0.545,2.7,3.8,0.709,2,2.4,2.3,5.8,8.2,1.1,0.3,2.5,9.8,16.5,0.5,4.4,6.2,3.2,3.8,3.8,9.5,13.3,1.8,0.4,4.1,24.3,0.623,0.601,184.6,11.6,24.9,18.7,10.6,14.1,0.7,10.4,28.6,-5.1,1.5,117.9,88.4,29.5,442.1,29.2,0,-0.001,-6.6,-0.2,NA,NA
"249","Abdel Nader",58,22,1.5,0.371,2.2,3,0.736,2.3,2.8,0.7,4.2,5,1.5,1.1,0.7,5.9,12.4,5.1,2.9,3.9,2.9,3.6,1,5.4,6.4,2,1.4,0.8,16.6,0.583,0.555,158.5,2.9,14.4,9,8,16.9,1.9,2.1,21.5,-3.8,1.3,105.5,103.3,2.2,282.5,15.2,2.1,0.0406666666666667,-3.16666666666667,-0.4,-5.83333333333333,-1
"250","Ben Bentil",51,21,1.5,0.329,5.5,7.1,0.782,1.9,2.8,2.7,5,7.7,1.1,0.9,1,8.2,17.8,5.3,6.5,8.3,2.2,3.2,3.1,5.8,8.9,1.3,1,1.2,24.6,0.567,0.51,157.3,8.4,16.6,12.4,8,9.3,1.4,3.1,29.6,-3.4,1.4,115.7,98.8,16.9,460.2,23.5,-0.1,-0.473,-25.9,-0.1,-26.9,-0.1
"251","Ben Simmons",1,19,0,0.333,6,9,0.67,3.4,2.8,3.1,8.6,11.8,4.8,2,0.8,7.5,13.4,0.1,6.9,10.3,3.9,3.2,3.6,9.9,13.5,5.5,2.3,0.9,22,0.6,0.561,156.3,9.6,26.8,18.2,27.4,17.4,3.1,2.5,26.4,-0.5,1.6,117.2,97.4,19.8,640.9,27.4,24.3,0.157666666666667,3.9,11.1,1.43333333333333,5.76666666666667
"252","Brandon Ingram",2,18,2.2,0.41,3.2,4.7,0.682,2,2.1,1.9,4.9,6.8,2,1.1,1.4,6.9,15.5,6.3,3.7,5.5,2.3,2.4,2.2,5.7,7.8,2.3,1.3,1.6,20,0.552,0.525,153.5,6.1,15.4,10.8,11.3,11.3,1.9,3.6,25.5,-2,1.3,114.9,103.4,11.5,448,21.4,9.6,0.05775,-1.375,1.2,-2.175,0.525
"253","Brice Johnson",25,21,0,0,3.6,4.6,0.783,1.8,2.6,2.9,7.5,10.4,1.4,1.1,1.5,9.5,15.5,0,5.1,6.6,2.5,3.8,4.1,10.7,14.8,2.1,1.5,2.1,24.2,0.649,0.614,139.6,11.7,28.5,20.4,9.7,11.8,2.2,5.5,25,-2.8,1.6,130.5,91.4,39.1,660.5,31.2,0.1,0.0103333333333333,-0.366666666666667,0.1,10.35,0.15
"254","Buddy Hield",6,23,4,0.457,4.8,5.4,0.88,3.1,2.1,1.2,4.5,5.7,2,1.1,0.5,9.2,18.4,9.8,5.4,6.1,3.5,2.3,1.4,5.1,6.5,2.3,1.3,0.6,28.3,0.665,0.623,183.7,4,13,8.8,12.7,14,1.8,1.4,30.2,-4.7,1.5,124.1,100.7,23.4,553.8,26.7,13,0.0624,0.12,5.9,-0.05,3.15
"255","Caris LeVert",20,21,1.9,0.446,3.6,4.5,0.794,1.7,1.2,0.6,4.7,5.3,4.9,1,0.2,7.1,14,5.6,4.7,5.9,2.2,1.6,0.8,6.1,6.9,6.4,1.3,0.3,21.3,0.636,0.596,174.6,2.5,17.5,10.5,30,11.4,2,0.7,25.5,5.5,1.5,131.3,92.2,39.1,220.2,27.2,7.3,0.065,-0.5,2,0.4,2.25
"256","Cheick Diallo",33,19,0,0,0.6,1,0.556,0.6,1.4,0.6,1.9,2.5,0,0.3,0.9,6.5,11.5,0,3,5.3,3.4,7.5,3.4,10.1,13.5,0.2,1.4,4.6,16,0.572,0.569,112.5,10.4,26.8,19.2,0.9,19.4,2,11.8,21.8,-8.2,1.4,101.6,85,16.6,77.6,19.7,6.3,0.135,-1.775,0.3,-3.85,-0.125
"257","Chinanu Onuaku",37,19,0,0,1.1,1.8,0.589,2.1,3,2.9,5.5,8.5,1.6,0.8,2,7.2,11.6,0.1,1.7,2.9,3.4,4.8,4.8,9,13.8,2.7,1.3,3.3,16.1,0.62,0.62,120.9,13.7,25.8,19.7,12.9,20.8,1.9,9.6,20.5,-4.3,1.4,114.7,84.4,30.3,366.2,24.7,0,-0.012,-8.1,-0.1,-11.65,-0.15
"258","Damian Jones",30,20,0,0,2.7,5.1,0.536,2,3.3,2.2,4.6,6.9,1.2,0.2,1.6,8.5,14.4,0.1,4.2,7.8,3,5,3.4,7.1,10.5,1.8,0.4,2.5,21.2,0.584,0.59,112.5,9.9,17.4,13.9,10.2,14.2,0.5,5.9,26.8,-4.6,1.5,110.4,94.8,15.6,330.8,22,4.4,0.0935,-4.3,0.1,-5.725,-0.275
"259","Daniel Hamilton",56,20,1.3,0.331,2.4,2.8,0.86,2.4,1.8,0.9,8,8.9,4.7,1.1,0.4,5.5,14.3,4.9,3,3.5,2.9,2.3,1.1,10,11.1,5.9,1.3,0.5,15.6,0.492,0.444,157.8,3.5,26.8,16,29,15.6,2,1.5,24.9,2.6,1.1,104,88.7,15.4,459.2,19.4,0,0.0725,-0.9,-0.1,-4.45,0
"260","DeAndre' Bembry",21,21,0.9,0.266,3.2,4.9,0.657,2,2.4,1.4,6.3,7.8,4.5,1.4,0.8,7.1,14.8,3.8,3.5,5.3,2.2,2.6,1.5,6.8,8.3,4.8,1.5,0.9,18.7,0.539,0.513,140.2,4.3,17.9,11.3,24.1,11.2,2.2,2.5,24.3,2.5,1.3,113.2,96.6,16.6,534.5,21.3,1,0.008,-3.275,-0.7,-3.275,0.1
"261","Dejounte Murray",29,19,1,0.288,3.2,4.9,0.663,3.2,2.6,1.4,4.6,6,4.5,1.8,0.3,7.1,17.1,4.1,3.9,5.8,3.9,3.2,1.7,5.4,7.1,5.3,2.2,0.4,19.2,0.485,0.451,136.6,4.1,13.7,8.8,25.7,16.3,2.8,0.8,25.9,-0.7,1.1,99.9,100.8,-1,354.5,16.2,5.8,0.055,-1.3,1.9,-0.266666666666667,1.96666666666667
"262","Demetrius Jackson",45,21,1.5,0.331,3.2,4,0.813,2.2,1.9,0.9,2.6,3.5,4.7,1.2,0.3,6.1,13.6,5.2,3.6,4.4,2.4,2.2,1,2.9,3.8,5.2,1.4,0.3,17.6,0.56,0.514,159.5,3.1,7.9,5.6,25,13.3,2.1,0.8,24.1,2.8,1.3,118.3,110.5,7.8,385.4,19.9,0.2,0.19375,3.275,0.1,-2.33333333333333,-0.1
"263","Denzel Valentine",14,22,3.4,0.444,2.6,3.1,0.853,2.7,1.7,0.8,6.7,7.5,7.8,1,0.2,8,17.4,9.2,3.2,3.7,3.3,2,1,8.1,9.1,9.4,1.3,0.3,23.3,0.608,0.579,175.9,3,21.4,12.9,45.5,14.8,1.9,0.7,28.5,7.7,1.3,127.6,92.1,35.6,576.4,28.3,3.6,0.0453333333333333,-1.63333333333333,0.4,-0.766666666666667,0.833333333333333
"264","Deyonta Davis",31,19,0,0,0.7,1.1,0.605,0.9,2.3,2.1,3.4,5.5,0.7,0.3,1.8,7.3,12.2,0,1.4,2.3,1.8,4.9,4.4,7.3,11.8,1.6,0.6,3.9,16.1,0.601,0.598,120.3,13.6,19.1,16.5,7.5,12.1,0.8,10.2,19.2,-2,1.3,121.4,90,31.4,287.8,22.3,3.6,0.126666666666667,-2.7,-0.1,-2.23333333333333,-0.166666666666667
"265","Diamond Stone",40,19,0,0,2.9,3.8,0.761,1.5,2.3,2.2,3.2,5.4,0.4,0.5,1.6,8.5,14.9,0,5.2,6.8,2.7,4,3.9,5.6,9.5,0.8,0.9,2.8,22.1,0.61,0.568,132.9,13,15.1,14.2,4.3,12.9,1.4,7.3,27.3,-5.6,1.5,118.8,97.2,21.6,322,25.6,-0.1,-0.211,-20.8,-0.1,-25.6,-0.3
"266","Domantas Sabonis",11,20,0.1,0.357,4.2,5.4,0.769,2.6,3.2,3.1,8.8,11.8,1.8,0.6,0.9,8.3,13.6,0.5,5.2,6.8,3.2,4,3.8,11,14.8,2.2,0.8,1.1,22,0.654,0.618,173.8,11.8,28.2,20.7,11.3,16.1,1.1,2.7,25.6,-4.5,1.6,124.5,90.2,34.2,580.1,27.6,20.6,0.12825,0.175,4.7,-0.275,2.55
"267","Georges Niang",50,23,1.6,0.392,2.7,3.4,0.807,2.6,3.2,1.3,4.9,6.2,3.3,0.9,0.6,9.7,17.8,4.9,3.3,4.1,3.2,3.8,1.6,5.9,7.5,4,1.1,0.8,24.7,0.625,0.6,174.5,4.8,15.6,10.6,19.2,13.8,1.5,1.8,28.7,-1.2,1.4,118.6,103.7,14.9,482.4,24.6,2.8,0.0045,-3.95,0.5,-3.45,0.175
"268","Henry Ellenson",18,19,0.9,0.288,4.3,5.8,0.749,2.4,2.5,2.2,7.6,9.7,1.8,0.8,1.5,7,15.7,3.8,5.2,6.9,2.8,3,2.6,9,11.6,2.1,1,1.8,20.3,0.534,0.48,148.3,7.8,24.1,16.5,11,12.9,1.4,4.4,26.7,-3.4,1.3,106.3,97.4,8.9,437.6,20.1,0.2,-0.003,-4.18,-0.3,-1.5,-0.25
"269","Isaiah Cousins",59,22,1.8,0.411,1.8,2.6,0.67,2.4,1.7,0.6,3.8,4.5,4.5,1.4,0.3,5.5,13.5,5.1,2.1,3.1,2.9,2,0.7,4.6,5.4,5.5,1.7,0.3,15.2,0.506,0.484,148.8,2.1,11.8,7.3,25.1,16,2.3,0.8,21.8,1.9,1.1,106.4,100.4,6,358.6,15.3,NA,NA,NA,NA,NA,NA
"270","Isaiah Whitehead",42,21,2.4,0.365,4.4,5.8,0.76,3.5,2.3,0.5,3.1,3.6,5.1,1.2,1.4,7.1,18.7,8.1,5.4,7.1,4.3,2.8,0.7,3.8,4.4,6.3,1.5,1.8,22.5,0.511,0.458,150.4,1.8,9.7,5.9,33,16.4,2.1,4.5,31.6,-0.3,1.2,104.5,96.5,7.9,360.5,19.6,-0.9,-0.029,-4.45,-1.4,-1.8,-0.05
"271","Jake Layman",47,22,1.6,0.396,2.2,2.6,0.832,1.7,1.9,1,4.2,5.2,1.1,1.1,1,5,9.9,5.1,2.8,3.4,2.1,2.4,1.3,5.4,6.7,1.5,1.4,1.3,14.7,0.64,0.602,172.7,4.3,14.4,9.9,6.9,15.6,2.1,3.3,17.9,-3,1.5,118.8,98.2,20.6,343.9,17.6,3,0.0165,-3.725,-0.1,-4.425,-0.05
"272","Jakob Poeltl",9,20,0,0,4.6,6.6,0.692,2.1,2.3,2.8,6.2,9.1,1.9,0.6,1.6,8.3,12.9,0,6,8.7,2.7,3,3.7,8.2,12,2.6,0.8,2,22.7,0.666,0.646,133.8,11.9,22.1,17.4,13.9,13.7,1.1,5,25.6,-2.6,1.8,128.8,97.6,31.2,568.6,29.1,16.3,0.164,0.45,3.3,1.5,3
"273","Jamal Murray",7,19,3.1,0.408,3.3,4.2,0.783,2.3,2.1,1.5,3.7,5.2,2.2,1,0.3,7.7,17,8.7,3.8,4.8,2.7,2.4,1.7,4.2,5.9,2.5,1.1,0.3,22.7,0.59,0.559,164.4,4.9,11.1,8.2,12.1,12.1,1.6,0.9,27.2,-2.5,1.3,120.5,101.2,19.2,415.8,21.6,16.2,0.08675,-0.125,4.2,1.375,5.475
"274","Jaylen Brown",3,19,0.9,0.294,4.2,6.4,0.654,3.1,3.2,1.1,4.3,5.4,2,0.8,0.6,6.9,16.1,4.3,6,9.2,4.5,4.6,1.5,6.2,7.8,2.9,1.2,0.9,21.2,0.518,0.471,138,4.5,16.5,10.8,15.1,17.9,1.7,2.2,31.4,-6.5,1.3,98.3,96.1,2.2,235.6,16.9,13.9,0.088,-1.375,1.6,-0.425,3.275
"275","Joel Bolomboy",52,22,0.6,0.364,4.8,6.9,0.697,2.4,2.2,3.3,9.3,12.6,1.1,0.7,1.2,7.4,12.9,2.1,6.1,8.7,3,2.8,4.2,11.7,15.9,1.4,0.9,1.6,21.7,0.634,0.602,163.4,13.2,31.2,23,7.5,14.9,1.3,3.6,25.9,-5.2,1.7,121.4,90,31.4,550.8,27.5,0.3,0.125,-0.8,0.1,-4.15,0
"276","Kay Felder",54,21,2.2,0.355,6.8,8.1,0.848,3.4,3,0.7,3.5,4.3,9.3,2,0.2,8.4,19,6.7,7.4,8.8,3.7,3.2,0.8,3.8,4.6,10.1,2.1,0.2,26.5,0.572,0.502,164.2,2.2,9.7,6.1,50,13.9,2.9,0.5,31.3,6.9,1.4,123,104.5,18.5,634.5,27.2,-0.4,-0.165333333333333,-11.5,-0.3,-5.95,-0.4
"277","Kris Dunn",5,22,1.3,0.372,4,5.8,0.695,3.5,2.8,1.1,4.2,5.3,6.2,2.5,0.6,6.8,15.1,4.2,4.9,7,4.3,3.4,1.3,5.1,6.5,7.6,3,0.7,19.9,0.541,0.499,151.4,3.6,14.9,9,42,18.8,4.3,1.9,28.1,2,1.3,106.2,94.3,11.9,449,22.2,3.9,0.0345,-1.85,0.2,-0.95,1.225
"278","Malachi Richardson",22,20,2.1,0.353,3.1,4.2,0.72,2.1,2.5,0.5,3.8,4.3,2.1,1.2,0.3,4.8,13,7,3.6,4.9,2.5,2.9,0.6,4.4,5,2.4,1.4,0.3,15.6,0.51,0.465,144.1,1.7,12.1,6.9,12.8,14,2.1,0.9,23.2,-2.3,1.2,102.6,101.3,1.3,256.9,13.5,-0.1,-0.00075,-7.05,-0.6,-7.13333333333333,-0.466666666666667
"279","Malcolm Brogdon",36,23,2,0.391,3.8,4.2,0.897,1.4,2.1,0.5,3.5,4.1,3.1,0.9,0.2,7.3,15.9,6.1,4.4,4.9,1.6,2.4,0.6,4.1,4.8,3.6,1.1,0.3,21.4,0.585,0.532,174.5,2.1,13.3,7.9,19.5,8.3,1.8,0.9,28.3,2.2,1.3,122.7,98.9,23.7,425.5,23.9,17.3,0.119,0.6,4.6,1.475,4.2
"280","Malik Beasley",19,19,1.6,0.387,3.1,3.8,0.812,1.7,2.2,1.3,4,5.3,1.5,0.9,0.2,7.3,15.5,5.6,4.1,5,2.3,3,1.7,5.4,7.1,2,1.3,0.2,20.9,0.583,0.541,167.1,5,15.1,10.1,9.8,11.5,1.8,0.6,24.2,-2.4,1.3,117.5,104,13.5,324.8,19.8,6.3,0.0618,-1.58,0.8,-0.675,0.825
"281","Marcus Paige",55,22,2.2,0.356,2.1,2.7,0.774,1.2,1.5,0.4,2.1,2.5,3.8,1.1,0.4,5.2,13.2,7.7,2.7,3.5,1.6,1.9,0.6,2.6,3.2,4.8,1.5,0.6,15.9,0.537,0.503,152.8,1.6,7.1,4.4,18.5,9.5,2.1,1.4,19.3,4,1.2,123.3,104.6,18.7,310.4,16.7,0,-0.006,-8.8,0,-1.3,0
"282","Marquese Chriss",8,18,0.6,0.35,2.6,3.8,0.685,2,4.1,2.5,2.9,5.4,0.8,0.9,1.6,8.5,16,2.8,4.2,6.1,3.3,6.5,4,4.6,8.6,1.2,1.5,2.6,22.2,0.586,0.562,156.6,9.8,11.6,10.7,6.3,14.7,1.9,5.8,24.2,-5.4,1.4,112.2,101,11.2,300.5,20.4,5.7,0.021,-4.44,-0.3,-4.6,-0.575
"283","Michael Patrick Gbinije",49,24,2.5,0.391,2.9,4.3,0.662,2.8,2.6,1.1,3,4.1,4.3,1.9,0.4,6.4,13.9,6.6,3,4.6,3,2.8,1.1,3.2,4.3,4.6,2,0.4,18.4,0.574,0.554,151.4,3.2,8.7,6,26.5,15.7,3.1,1.1,24.8,0.1,1.3,113.4,100.7,12.7,434.2,19.9,-0.1,-0.136,-12.1,-0.1,NA,NA
"284","Pascal Siakam",27,22,0.1,0.2,4,5.9,0.678,2,2.7,3.9,7.7,11.6,1.7,1,2.2,9.3,17.3,0.5,4.7,6.9,2.3,3.1,4.5,8.9,13.4,1.9,1.2,2.6,23.4,0.569,0.541,141.7,13.5,23.5,18.8,11.8,10,1.7,6.5,29.1,-2.6,1.4,119.4,86,33.4,612.8,29.6,21,0.13,0.775,6.1,-0.0249999999999999,4.075
"285","Patrick McCaw",38,20,2.1,0.366,2.5,3.2,0.774,2.1,2.2,1.2,4,5.1,3.9,2.5,0.4,6,13,6.7,2.9,3.8,2.4,2.6,1.4,4.7,6.1,4.6,2.9,0.5,17.5,0.591,0.56,160.5,3.6,12.5,8.1,22.7,14.2,3.9,1.2,20.3,1.5,1.3,117.1,94.9,22.2,429.2,20.1,4.2,0.028,-4.2,-0.7,-4.175,-0.575
"286","Skal Labissiere",28,20,0,0,1.1,1.7,0.661,0.9,3,1,2.2,3.1,0.3,0.2,1.6,6.9,13.4,0.1,2.9,4.4,2.3,7.6,2.5,5.5,8,0.8,0.6,4.2,16.7,0.54,0.516,117.7,7.2,14.6,11.1,3.6,13.1,0.9,10.3,22.1,-4.6,1.2,108,95.7,12.3,156.8,17.5,4.4,0.1012,-1.94,-0.1,-3.575,0
"287","Stephen Zimmerman",41,19,0.2,0.294,2.4,3.9,0.624,2.1,3,2.2,6.6,8.7,0.8,0.5,2,6,12.6,1,3.7,5.9,3.2,4.6,3.3,10.1,13.4,1.3,0.8,3,16,0.519,0.488,139.5,8.9,27,17.9,6.6,17.1,1.1,7.4,22.2,-5.5,1.3,98.7,91.5,7.1,251.4,17.1,0,-0.005,-8.3,-0.2,-13.3,-0.6
